raw_frame_id,raw_filename,frame_number,timestamp,extraction_rate,brightness,contrast,blur_edge_score,perceptual_hash,duplicate_distance,duplicate_of,script_suggestion,script_reason,final_decision,final_reason,final_curated_image_id,final_curated_filename,reviewer,comment
nosferatu_raw_000255,raw_frames/nosferatu_raw_000255.jpg,255,00:42:20,1 frame / 10 sec,41.29,33.898,7.343,147e7f7b020e0602,22,,review,usable_candidate,kept,,nosferatu_000255,nosferatu_000255.jpg,,
nosferatu_raw_000256,raw_frames/nosferatu_raw_000256.jpg,256,00:42:30,1 frame / 10 sec,48.865,41.668,4.866,001c3e3e7e7e3c00,23,,review,usable_candidate,kept,,nosferatu_000256,nosferatu_000256.jpg,,
nosferatu_raw_000257,raw_frames/nosferatu_raw_000257.jpg,257,00:42:40,1 frame / 10 sec,41.096,35.056,4.355,002c76767e747030,13,,review,usable_candidate,kept,,nosferatu_000257,nosferatu_000257.jpg,,
nosferatu_raw_000258,raw_frames/nosferatu_raw_000258.jpg,258,00:42:50,1 frame / 10 sec,39.802,32.188,5.762,003e3e1e00007878,20,,review,usable_candidate,kept,,nosferatu_000258,nosferatu_000258.jpg,,
nosferatu_raw_000259,raw_frames/nosferatu_raw_000259.jpg,259,00:43:00,1 frame / 10 sec,36.388,32.254,4.452,000c2623979e3838,22,,review,usable_candidate,kept,,nosferatu_000259,nosferatu_000259.jpg,,
nosferatu_raw_000260,raw_frames/nosferatu_raw_000260.jpg,260,00:43:10,1 frame / 10 sec,41.312,34.635,3.58,3a7e3c043c3e3818,23,,remove,blurred,kept,,nosferatu_000260,nosferatu_000260.jpg,,
nosferatu_raw_000262,raw_frames/nosferatu_raw_000262.jpg,262,00:43:30,1 frame / 10 sec,41.707,34.639,7.181,001cdefe763e1800,16,,review,usable_candidate,kept,,nosferatu_000262,nosferatu_000262.jpg,,
nosferatu_raw_000265,raw_frames/nosferatu_raw_000265.jpg,265,00:44:00,1 frame / 10 sec,23.027,16.041,4.496,002eef67137e0c00,3,nosferatu_raw_000264,remove,near_duplicate,kept,,nosferatu_000265,nosferatu_000265.jpg,,
nosferatu_raw_000267,raw_frames/nosferatu_raw_000267.jpg,267,00:44:20,1 frame / 10 sec,22.293,19.655,3.517,161e3f3f3b101000,16,,remove,blurred,kept,,nosferatu_000267,nosferatu_000267.jpg,,
nosferatu_raw_000270,raw_frames/nosferatu_raw_000270.jpg,270,00:44:50,1 frame / 10 sec,25.462,17.379,4.051,002e7e7e061e1c00,16,,review,usable_candidate,kept,,nosferatu_000270,nosferatu_000270.jpg,,
nosferatu_raw_000275,raw_frames/nosferatu_raw_000275.jpg,275,00:45:40,1 frame / 10 sec,37.389,32.596,6.387,18b2f3fbfe740800,21,,review,usable_candidate,kept,,nosferatu_000275,nosferatu_000275.jpg,,
nosferatu_raw_000277,raw_frames/nosferatu_raw_000277.jpg,277,00:46:00,1 frame / 10 sec,20.28,15.728,3.917,001c187e7e1c0400,13,,remove,blurred,kept,,nosferatu_000277,nosferatu_000277.jpg,,
nosferatu_raw_000278,raw_frames/nosferatu_raw_000278.jpg,278,00:46:10,1 frame / 10 sec,24.164,24.111,4.395,00107c7edfcc1800,14,,review,usable_candidate,kept,,nosferatu_000278,nosferatu_000278.jpg,,
nosferatu_raw_000282,raw_frames/nosferatu_raw_000282.jpg,282,00:46:50,1 frame / 10 sec,22.992,22.296,4.4,00307cfedf520000,14,,review,usable_candidate,kept,,nosferatu_000282,nosferatu_000282.jpg,,
nosferatu_raw_000286,raw_frames/nosferatu_raw_000286.jpg,286,00:47:30,1 frame / 10 sec,17.515,19.097,3.541,00081c1e3c1c0c00,14,,remove,black_frame,kept,,nosferatu_000286,nosferatu_000286.jpg,,
nosferatu_raw_000290,raw_frames/nosferatu_raw_000290.jpg,290,00:48:10,1 frame / 10 sec,27.944,30.859,5.123,1c3e3e3e1a100000,14,,review,usable_candidate,kept,,nosferatu_000290,nosferatu_000290.jpg,,
nosferatu_raw_000291,raw_frames/nosferatu_raw_000291.jpg,291,00:48:20,1 frame / 10 sec,38.034,31.175,5.196,103e7e3e3e3f0200,11,,review,usable_candidate,kept,,nosferatu_000291,nosferatu_000291.jpg,,
nosferatu_raw_000293,raw_frames/nosferatu_raw_000293.jpg,293,00:48:40,1 frame / 10 sec,31.292,34.403,4.765,00183c3e3c3e1800,13,,review,usable_candidate,kept,,nosferatu_000293,nosferatu_000293.jpg,,
nosferatu_raw_000296,raw_frames/nosferatu_raw_000296.jpg,296,00:49:10,1 frame / 10 sec,27.374,30.288,5.176,00387c7c2c7c3c00,15,,review,usable_candidate,kept,,nosferatu_000296,nosferatu_000296.jpg,,
nosferatu_raw_000297,raw_frames/nosferatu_raw_000297.jpg,297,00:49:20,1 frame / 10 sec,21.091,26.279,3.318,0018383c18183800,11,,remove,blurred,kept,,nosferatu_000297,nosferatu_000297.jpg,,
nosferatu_raw_000298,raw_frames/nosferatu_raw_000298.jpg,298,00:49:30,1 frame / 10 sec,62.047,51.983,5.957,0018183c7e7e7e18,14,,review,usable_candidate,kept,,nosferatu_000298,nosferatu_000298.jpg,,
nosferatu_raw_000301,raw_frames/nosferatu_raw_000301.jpg,301,00:50:00,1 frame / 10 sec,23.254,29.23,2.834,0038787078383000,15,,remove,blurred,kept,,nosferatu_000301,nosferatu_000301.jpg,,
nosferatu_raw_000304,raw_frames/nosferatu_raw_000304.jpg,304,00:50:30,1 frame / 10 sec,38.835,38.22,8.783,0000183838feff40,25,,review,usable_candidate,kept,,nosferatu_000304,nosferatu_000304.jpg,,
nosferatu_raw_000309,raw_frames/nosferatu_raw_000309.jpg,309,00:51:20,1 frame / 10 sec,23.571,25.94,4.219,0010600cfefcbc18,25,,review,usable_candidate,kept,,nosferatu_000309,nosferatu_000309.jpg,,
nosferatu_raw_000322,raw_frames/nosferatu_raw_000322.jpg,322,00:53:30,1 frame / 10 sec,14.528,18.365,4.283,00243c5c3e2f0600,17,,remove,black_frame,kept,,nosferatu_000322,nosferatu_000322.jpg,,
nosferatu_raw_000323,raw_frames/nosferatu_raw_000323.jpg,323,00:53:40,1 frame / 10 sec,12.583,17.091,2.222,0060f8b818383800,21,,remove,black_frame,kept,,nosferatu_000323,nosferatu_000323.jpg,,
nosferatu_raw_000325,raw_frames/nosferatu_raw_000325.jpg,325,00:54:00,1 frame / 10 sec,14.271,15.339,3.357,087c7c3c38181800,13,,remove,black_frame,kept,,nosferatu_000325,nosferatu_000325.jpg,,
