image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000309,nosferatu_000309.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:51:20,1 frame / 10 sec,kept,
nosferatu_000322,nosferatu_000322.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:53:30,1 frame / 10 sec,kept,
nosferatu_000323,nosferatu_000323.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:53:40,1 frame / 10 sec,kept,
nosferatu_000325,nosferatu_000325.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:54:00,1 frame / 10 sec,kept,
nosferatu_000327,nosferatu_000327.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:54:20,1 frame / 10 sec,kept,
nosferatu_000328,nosferatu_000328.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:54:30,1 frame / 10 sec,kept,
nosferatu_000329,nosferatu_000329.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:54:40,1 frame / 10 sec,kept,
nosferatu_000331,nosferatu_000331.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:55:00,1 frame / 10 sec,kept,
nosferatu_000332,nosferatu_000332.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:55:10,1 frame / 10 sec,kept,
nosferatu_000333,nosferatu_000333.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:55:20,1 frame / 10 sec,kept,
